YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2018,15,0,79,0,0,0,0,1,1,24000
2018,15,0,19,0,0,0,0,1,0,14000
2018,15,1,72,0,1,0,0,0,0,10000
2018,15,0,30,0,0,0,0,1,0,20000
2018,15,0,39,0,0,1,0,0,0,0
2018,15,1,20,0,1,0,0,0,0,5200
2018,15,1,25,0,1,0,0,0,0,25000
2018,15,0,80,0,1,0,0,0,0,2400
2018,15,1,96,0,1,0,0,0,0,1700
2018,15,0,20,1,0,0,0,0,0,14000
2018,15,0,19,0,0,0,0,1,0,900
2018,15,0,80,0,1,0,0,0,0,0
2018,15,0,20,0,0,0,0,1,0,21000
2018,15,0,23,0,0,0,0,1,0,30000
2018,15,0,22,0,0,1,0,0,0,50000
2018,15,1,62,0,0,0,1,0,0,0
2018,15,0,52,0,0,0,1,0,0,0
2018,15,0,43,0,0,0,0,1,0,9000
2018,15,0,21,0,0,0,0,1,0,26600
2018,15,1,96,0,1,0,0,0,0,28100
2018,15,0,21,0,0,0,0,1,0,26000
2018,15,0,24,0,0,0,0,1,0,26000
2018,15,0,15,0,0,0,1,0,0,0
2018,15,0,52,0,0,0,0,1,0,0
2018,15,0,49,0,1,0,0,0,0,0
2018,15,0,80,0,1,0,0,0,0,2400
2018,15,0,20,0,0,0,0,1,0,50000
2018,15,1,92,0,1,0,0,0,0,12400
2018,15,1,91,0,1,0,0,0,1,19700
2018,15,0,35,0,0,0,0,1,0,0
2018,15,0,87,0,1,0,0,0,0,32000
2018,15,1,23,0,0,0,0,1,0,30000
2018,15,1,19,0,1,0,0,1,0,2500
2018,15,0,20,0,1,0,0,0,0,0
2018,15,1,39,0,0,0,1,0,0,32400
2018,15,1,82,0,0,1,0,0,1,40300
2018,15,1,67,0,1,0,0,0,1,16400
2018,15,1,17,0,1,0,1,0,0,0
2018,15,1,65,0,1,0,0,0,0,24200
2018,15,1,21,0,0,0,0,1,0,6000
2018,15,1,96,0,1,0,0,0,0,8600
2018,15,0,21,0,0,0,0,1,0,26000
2018,15,0,19,0,0,0,0,1,0,20000
2018,15,0,66,0,1,0,0,0,0,10600
2018,15,1,91,0,1,0,0,0,1,38800
2018,15,0,31,0,0,0,1,0,0,0
2018,15,0,19,1,0,0,1,0,0,0
2018,15,1,19,0,0,0,0,1,0,3000
